,Date,Value
1,10/2/06,0
2,10/3/06,0
3,10/4/06,0
4,10/5/06,0
5,10/6/06,0
6,10/7/06,0
7,10/8/06,0
8,10/9/06,0
9,10/10/06,0
10,10/11/06,0
11,10/12/06,0
12,10/13/06,0
13,10/14/06,0
14,10/15/06,0
15,10/16/06,0
16,10/17/06,0
17,10/18/06,0
18,10/19/06,0
19,10/20/06,0
20,10/21/06,0
21,10/22/06,0
22,10/23/06,0
23,10/24/06,0
24,10/25/06,0
25,10/26/06,0
26,10/27/06,0
27,10/28/06,0
28,10/29/06,0
29,10/30/06,0
30,10/31/06,0
31,11/1/06,0
32,11/2/06,0
33,11/3/06,0
34,11/4/06,0
35,11/5/06,0
36,11/6/06,0
37,11/7/06,0
38,11/8/06,0
39,11/9/06,0
40,11/10/06,0
41,11/11/06,0
42,11/12/06,0
43,11/13/06,0
44,11/14/06,0
45,11/15/06,0
46,11/16/06,0
47,11/17/06,0
48,11/18/06,0
49,11/19/06,0
50,11/20/06,0
51,11/21/06,0
52,11/22/06,0
53,11/23/06,0
54,11/24/06,34
55,11/25/06,33
56,11/26/06,31
57,11/27/06,100
58,11/28/06,21
59,11/29/06,0
60,11/30/06,0
61,12/1/06,16
62,12/2/06,0
63,12/3/06,0
64,12/4/06,0
65,12/5/06,0
66,12/6/06,0
67,12/7/06,0
68,12/8/06,0
69,12/9/06,0
70,12/10/06,0
71,12/11/06,0
72,12/12/06,0
73,12/13/06,0
74,12/14/06,0
75,12/15/06,0
76,12/16/06,0
77,12/17/06,0
78,12/18/06,0
79,12/19/06,0
80,12/20/06,0
81,12/21/06,0
82,12/22/06,0
83,12/23/06,0
84,12/24/06,0
85,12/25/06,0
86,12/26/06,0
87,12/27/06,0
88,12/28/06,0
89,12/29/06,0
90,12/30/06,0
91,12/31/06,0
92,10/2/07,0
93,10/3/07,0
94,10/4/07,0
95,10/5/07,0
96,10/6/07,0
97,10/7/07,0
98,10/8/07,0
99,10/9/07,0
100,10/10/07,0
101,10/11/07,0
102,10/12/07,0
103,10/13/07,0
104,10/14/07,0
105,10/15/07,0
106,10/16/07,0
107,10/17/07,0
108,10/18/07,0
109,10/19/07,0
110,10/20/07,0
111,10/21/07,0
112,10/22/07,0
113,10/23/07,0
114,10/24/07,0
115,10/25/07,0
116,10/26/07,0
117,10/27/07,0
118,10/28/07,0
119,10/29/07,0
120,10/30/07,0
121,10/31/07,0
122,11/1/07,0
123,11/2/07,0
124,11/3/07,0
125,11/4/07,0
126,11/5/07,0
127,11/6/07,0
128,11/7/07,0
129,11/8/07,0
130,11/9/07,0
131,11/10/07,0
132,11/11/07,0
133,11/12/07,0
134,11/13/07,0
135,11/14/07,0
136,11/15/07,0
137,11/16/07,0
138,11/17/07,6
139,11/18/07,5
140,11/19/07,4
141,11/20/07,0
142,11/21/07,8
143,11/22/07,4
144,11/23/07,9
145,11/24/07,13
146,11/25/07,19
147,11/26/07,100
148,11/27/07,21
149,11/28/07,4
150,11/29/07,0
151,11/30/07,0
152,12/1/07,0
153,12/2/07,0
154,12/3/07,0
155,12/4/07,4
156,12/5/07,0
157,12/6/07,0
158,12/7/07,0
159,12/8/07,0
160,12/9/07,0
161,12/10/07,0
162,12/11/07,0
163,12/12/07,0
164,12/13/07,0
165,12/14/07,0
166,12/15/07,0
167,12/16/07,0
168,12/17/07,0
169,12/18/07,0
170,12/19/07,0
171,12/20/07,0
172,12/21/07,0
173,12/22/07,0
174,12/23/07,0
175,12/24/07,0
176,12/25/07,0
177,12/26/07,0
178,12/27/07,0
179,12/28/07,0
180,12/29/07,0
181,12/30/07,0
182,12/31/07,0
183,10/2/08,0
184,10/3/08,0
185,10/4/08,0
186,10/5/08,0
187,10/6/08,0
188,10/7/08,0
189,10/8/08,0
190,10/9/08,0
191,10/10/08,0
192,10/11/08,0
193,10/12/08,0
194,10/13/08,0
195,10/14/08,0
196,10/15/08,0
197,10/16/08,0
198,10/17/08,0
199,10/18/08,0
200,10/19/08,0
201,10/20/08,0
202,10/21/08,0
203,10/22/08,0
204,10/23/08,0
205,10/24/08,0
206,10/25/08,0
207,10/26/08,0
208,10/27/08,0
209,10/28/08,0
210,10/29/08,0
211,10/30/08,0
212,10/31/08,0
213,11/1/08,0
214,11/2/08,0
215,11/3/08,0
216,11/4/08,0
217,11/5/08,1
218,11/6/08,0
219,11/7/08,1
220,11/8/08,0
221,11/9/08,1
222,11/10/08,0
223,11/11/08,0
224,11/12/08,1
225,11/13/08,0
226,11/14/08,0
227,11/15/08,0
228,11/16/08,1
229,11/17/08,0
230,11/18/08,1
231,11/19/08,0
232,11/20/08,1
233,11/21/08,1
234,11/22/08,3
235,11/23/08,2
236,11/24/08,4
237,11/25/08,3
238,11/26/08,2
239,11/27/08,3
240,11/28/08,7
241,11/29/08,15
242,11/30/08,31
243,12/1/08,100
244,12/2/08,23
245,12/3/08,1
246,12/4/08,1
247,12/5/08,1
248,12/6/08,1
249,12/7/08,0
250,12/8/08,1
251,12/9/08,1
252,12/10/08,0
253,12/11/08,0
254,12/12/08,1
255,12/13/08,0
256,12/14/08,0
257,12/15/08,1
258,12/16/08,0
259,12/17/08,0
260,12/18/08,0
261,12/19/08,0
262,12/20/08,0
263,12/21/08,0
264,12/22/08,0
265,12/23/08,0
266,12/24/08,0
267,12/25/08,0
268,12/26/08,0
269,12/27/08,0
270,12/28/08,0
271,12/29/08,0
272,12/30/08,0
273,12/31/08,0
274,10/2/09,0
275,10/3/09,0
276,10/4/09,0
277,10/5/09,0
278,10/6/09,0
279,10/7/09,0
280,10/8/09,0
281,10/9/09,0
282,10/10/09,0
283,10/11/09,0
284,10/12/09,0
285,10/13/09,0
286,10/14/09,0
287,10/15/09,0
288,10/16/09,0
289,10/17/09,0
290,10/18/09,0
291,10/19/09,0
292,10/20/09,0
293,10/21/09,0
294,10/22/09,0
295,10/23/09,0
296,10/24/09,1
297,10/25/09,0
298,10/26/09,0
299,10/27/09,0
300,10/28/09,0
301,10/29/09,0
302,10/30/09,0
303,10/31/09,0
304,11/1/09,1
305,11/2/09,0
306,11/3/09,0
307,11/4/09,0
308,11/5/09,0
309,11/6/09,0
310,11/7/09,1
311,11/8/09,1
312,11/9/09,0
313,11/10/09,0
314,11/11/09,0
315,11/12/09,0
316,11/13/09,0
317,11/14/09,0
318,11/15/09,1
319,11/16/09,0
320,11/17/09,0
321,11/18/09,1
322,11/19/09,2
323,11/20/09,2
324,11/21/09,2
325,11/22/09,2
326,11/23/09,2
327,11/24/09,3
328,11/25/09,2
329,11/26/09,3
330,11/27/09,8
331,11/28/09,17
332,11/29/09,35
333,11/30/09,100
334,12/1/09,28
335,12/2/09,1
336,12/3/09,1
337,12/4/09,0
338,12/5/09,1
339,12/6/09,1
340,12/7/09,1
341,12/8/09,0
342,12/9/09,0
343,12/10/09,0
344,12/11/09,0
345,12/12/09,0
346,12/13/09,1
347,12/14/09,0
348,12/15/09,0
349,12/16/09,0
350,12/17/09,0
351,12/18/09,1
352,12/19/09,0
353,12/20/09,0
354,12/21/09,0
355,12/22/09,0
356,12/23/09,0
357,12/24/09,0
358,12/25/09,1
359,12/26/09,0
360,12/27/09,0
361,12/28/09,0
362,12/29/09,0
363,12/30/09,1
364,12/31/09,0
365,10/2/10,0
366,10/3/10,0
367,10/4/10,0
368,10/5/10,0
369,10/6/10,0
370,10/7/10,0
371,10/8/10,0
372,10/9/10,0
373,10/10/10,0
374,10/11/10,0
375,10/12/10,0
376,10/13/10,0
377,10/14/10,0
378,10/15/10,0
379,10/16/10,0
380,10/17/10,0
381,10/18/10,0
382,10/19/10,0
383,10/20/10,0
384,10/21/10,0
385,10/22/10,0
386,10/23/10,0
387,10/24/10,0
388,10/25/10,0
389,10/26/10,0
390,10/27/10,0
391,10/28/10,0
392,10/29/10,0
393,10/30/10,0
394,10/31/10,0
395,11/1/10,0
396,11/2/10,0
397,11/3/10,0
398,11/4/10,0
399,11/5/10,0
400,11/6/10,0
401,11/7/10,0
402,11/8/10,0
403,11/9/10,0
404,11/10/10,0
405,11/11/10,0
406,11/12/10,0
407,11/13/10,0
408,11/14/10,0
409,11/15/10,1
410,11/16/10,1
411,11/17/10,1
412,11/18/10,1
413,11/19/10,1
414,11/20/10,2
415,11/21/10,2
416,11/22/10,3
417,11/23/10,2
418,11/24/10,2
419,11/25/10,4
420,11/26/10,11
421,11/27/10,17
422,11/28/10,39
423,11/29/10,100
424,11/30/10,23
425,12/1/10,2
426,12/2/10,1
427,12/3/10,0
428,12/4/10,1
429,12/5/10,1
430,12/6/10,1
431,12/7/10,0
432,12/8/10,0
433,12/9/10,0
434,12/10/10,0
435,12/11/10,0
436,12/12/10,0
437,12/13/10,0
438,12/14/10,0
439,12/15/10,0
440,12/16/10,0
441,12/17/10,0
442,12/18/10,0
443,12/19/10,0
444,12/20/10,0
445,12/21/10,0
446,12/22/10,0
447,12/23/10,0
448,12/24/10,0
449,12/25/10,0
450,12/26/10,0
451,12/27/10,0
452,12/28/10,0
453,12/29/10,0
454,12/30/10,0
455,12/31/10,0
456,10/2/11,0
457,10/3/11,0
458,10/4/11,0
459,10/5/11,0
460,10/6/11,0
461,10/7/11,0
462,10/8/11,0
463,10/9/11,0
464,10/10/11,0
465,10/11/11,0
466,10/12/11,0
467,10/13/11,0
468,10/14/11,0
469,10/15/11,0
470,10/16/11,0
471,10/17/11,0
472,10/18/11,0
473,10/19/11,0
474,10/20/11,0
475,10/21/11,0
476,10/22/11,0
477,10/23/11,0
478,10/24/11,0
479,10/25/11,0
480,10/26/11,0
481,10/27/11,0
482,10/28/11,0
483,10/29/11,0
484,10/30/11,0
485,10/31/11,0
486,11/1/11,0
487,11/2/11,0
488,11/3/11,0
489,11/4/11,0
490,11/5/11,0
491,11/6/11,0
492,11/7/11,0
493,11/8/11,0
494,11/9/11,1
495,11/10/11,1
496,11/11/11,1
497,11/12/11,1
498,11/13/11,1
499,11/14/11,1
500,11/15/11,1
501,11/16/11,1
502,11/17/11,1
503,11/18/11,1
504,11/19/11,2
505,11/20/11,2
506,11/21/11,4
507,11/22/11,3
508,11/23/11,4
509,11/24/11,6
510,11/25/11,16
511,11/26/11,22
512,11/27/11,45
513,11/28/11,100
514,11/29/11,33
515,11/30/11,6
516,12/1/11,1
517,12/2/11,1
518,12/3/11,1
519,12/4/11,1
520,12/5/11,3
521,12/6/11,1
522,12/7/11,1
523,12/8/11,0
524,12/9/11,1
525,12/10/11,1
526,12/11/11,1
527,12/12/11,3
528,12/13/11,1
529,12/14/11,0
530,12/15/11,0
531,12/16/11,0
532,12/17/11,0
533,12/18/11,1
534,12/19/11,2
535,12/20/11,0
536,12/21/11,0
537,12/22/11,0
538,12/23/11,0
539,12/24/11,0
540,12/25/11,0
541,12/26/11,1
542,12/27/11,0
543,12/28/11,0
544,12/29/11,0
545,12/30/11,0
546,12/31/11,0
547,10/2/12,0
548,10/3/12,0
549,10/4/12,0
550,10/5/12,0
551,10/6/12,0
552,10/7/12,0
553,10/8/12,0
554,10/9/12,0
555,10/10/12,0
556,10/11/12,0
557,10/12/12,0
558,10/13/12,0
559,10/14/12,0
560,10/15/12,0
561,10/16/12,0
562,10/17/12,0
563,10/18/12,0
564,10/19/12,0
565,10/20/12,0
566,10/21/12,0
567,10/22/12,0
568,10/23/12,0
569,10/24/12,0
570,10/25/12,0
571,10/26/12,0
572,10/27/12,0
573,10/28/12,0
574,10/29/12,0
575,10/30/12,0
576,10/31/12,0
577,11/1/12,0
578,11/2/12,0
579,11/3/12,0
580,11/4/12,0
581,11/5/12,0
582,11/6/12,0
583,11/7/12,0
584,11/8/12,1
585,11/9/12,1
586,11/10/12,1
587,11/11/12,1
588,11/12/12,1
589,11/13/12,1
590,11/14/12,1
591,11/15/12,1
592,11/16/12,2
593,11/17/12,2
594,11/18/12,3
595,11/19/12,5
596,11/20/12,4
597,11/21/12,4
598,11/22/12,9
599,11/23/12,22
600,11/24/12,26
601,11/25/12,41
602,11/26/12,100
603,11/27/12,33
604,11/28/12,4
605,11/29/12,3
606,11/30/12,3
607,12/1/12,1
608,12/2/12,1
609,12/3/12,1
610,12/4/12,0
611,12/5/12,0
612,12/6/12,0
613,12/7/12,0
614,12/8/12,0
615,12/9/12,0
616,12/10/12,0
617,12/11/12,0
618,12/12/12,0
619,12/13/12,0
620,12/14/12,0
621,12/15/12,0
622,12/16/12,0
623,12/17/12,0
624,12/18/12,0
625,12/19/12,0
626,12/20/12,0
627,12/21/12,0
628,12/22/12,0
629,12/23/12,0
630,12/24/12,0
631,12/25/12,0
632,12/26/12,0
633,12/27/12,0
634,12/28/12,0
635,12/29/12,0
636,12/30/12,0
637,12/31/12,0
638,10/2/13,0
639,10/3/13,0
640,10/4/13,0
641,10/5/13,0
642,10/6/13,0
643,10/7/13,0
644,10/8/13,0
645,10/9/13,0
646,10/10/13,0
647,10/11/13,0
648,10/12/13,0
649,10/13/13,0
650,10/14/13,0
651,10/15/13,0
652,10/16/13,0
653,10/17/13,0
654,10/18/13,0
655,10/19/13,0
656,10/20/13,0
657,10/21/13,0
658,10/22/13,0
659,10/23/13,0
660,10/24/13,0
661,10/25/13,0
662,10/26/13,0
663,10/27/13,0
664,10/28/13,0
665,10/29/13,0
666,10/30/13,0
667,10/31/13,0
668,11/1/13,0
669,11/2/13,0
670,11/3/13,0
671,11/4/13,0
672,11/5/13,0
673,11/6/13,0
674,11/7/13,0
675,11/8/13,0
676,11/9/13,0
677,11/10/13,0
678,11/11/13,0
679,11/12/13,1
680,11/13/13,1
681,11/14/13,1
682,11/15/13,1
683,11/16/13,1
684,11/17/13,1
685,11/18/13,2
686,11/19/13,2
687,11/20/13,2
688,11/21/13,2
689,11/22/13,3
690,11/23/13,4
691,11/24/13,5
692,11/25/13,6
693,11/26/13,5
694,11/27/13,5
695,11/28/13,7
696,11/29/13,15
697,11/30/13,19
698,12/1/13,29
699,12/2/13,100
700,12/3/13,25
701,12/4/13,2
702,12/5/13,1
703,12/6/13,1
704,12/7/13,1
705,12/8/13,0
706,12/9/13,0
707,12/10/13,0
708,12/11/13,0
709,12/12/13,0
710,12/13/13,0
711,12/14/13,0
712,12/15/13,0
713,12/16/13,0
714,12/17/13,0
715,12/18/13,0
716,12/19/13,0
717,12/20/13,0
718,12/21/13,0
719,12/22/13,0
720,12/23/13,0
721,12/24/13,0
722,12/25/13,0
723,12/26/13,0
724,12/27/13,0
725,12/28/13,0
726,12/29/13,0
727,12/30/13,0
728,12/31/13,0
729,10/2/14,0
730,10/3/14,0
731,10/4/14,0
732,10/5/14,0
733,10/6/14,0
734,10/7/14,0
735,10/8/14,0
736,10/9/14,0
737,10/10/14,0
738,10/11/14,0
739,10/12/14,0
740,10/13/14,0
741,10/14/14,0
742,10/15/14,0
743,10/16/14,0
744,10/17/14,0
745,10/18/14,0
746,10/19/14,0
747,10/20/14,0
748,10/21/14,0
749,10/22/14,0
750,10/23/14,0
751,10/24/14,0
752,10/25/14,0
753,10/26/14,0
754,10/27/14,0
755,10/28/14,0
756,10/29/14,0
757,10/30/14,0
758,10/31/14,0
759,11/1/14,0
760,11/2/14,0
761,11/3/14,0
762,11/4/14,0
763,11/5/14,0
764,11/6/14,0
765,11/7/14,0
766,11/8/14,0
767,11/9/14,0
768,11/10/14,1
769,11/11/14,1
770,11/12/14,1
771,11/13/14,1
772,11/14/14,1
773,11/15/14,1
774,11/16/14,2
775,11/17/14,2
776,11/18/14,2
777,11/19/14,2
778,11/20/14,2
779,11/21/14,2
780,11/22/14,3
781,11/23/14,4
782,11/24/14,7
783,11/25/14,6
784,11/26/14,6
785,11/27/14,8
786,11/28/14,18
787,11/29/14,22
788,11/30/14,34
789,12/1/14,100
790,12/2/14,27
791,12/3/14,2
792,12/4/14,1
793,12/5/14,1
794,12/6/14,1
795,12/7/14,1
796,12/8/14,0
797,12/9/14,0
798,12/10/14,0
799,12/11/14,0
800,12/12/14,0
801,12/13/14,0
802,12/14/14,0
803,12/15/14,0
804,12/16/14,0
805,12/17/14,0
806,12/18/14,0
807,12/19/14,0
808,12/20/14,0
809,12/21/14,0
810,12/22/14,0
811,12/23/14,0
812,12/24/14,0
813,12/25/14,0
814,12/26/14,0
815,12/27/14,0
816,12/28/14,0
817,12/29/14,0
818,12/30/14,0
819,12/31/14,0
820,10/2/15,0
821,10/3/15,0
822,10/4/15,0
823,10/5/15,0
824,10/6/15,0
825,10/7/15,0
826,10/8/15,0
827,10/9/15,0
828,10/10/15,0
829,10/11/15,0
830,10/12/15,0
831,10/13/15,0
832,10/14/15,0
833,10/15/15,0
834,10/16/15,0
835,10/17/15,0
836,10/18/15,0
837,10/19/15,0
838,10/20/15,0
839,10/21/15,0
840,10/22/15,0
841,10/23/15,0
842,10/24/15,0
843,10/25/15,0
844,10/26/15,0
845,10/27/15,0
846,10/28/15,0
847,10/29/15,0
848,10/30/15,0
849,10/31/15,0
850,11/1/15,0
851,11/2/15,0
852,11/3/15,0
853,11/4/15,0
854,11/5/15,0
855,11/6/15,0
856,11/7/15,0
857,11/8/15,0
858,11/9/15,0
859,11/10/15,1
860,11/11/15,1
861,11/12/15,1
862,11/13/15,1
863,11/14/15,1
864,11/15/15,1
865,11/16/15,2
866,11/17/15,1
867,11/18/15,2
868,11/19/15,2
869,11/20/15,2
870,11/21/15,2
871,11/22/15,4
872,11/23/15,8
873,11/24/15,5
874,11/25/15,5
875,11/26/15,7
876,11/27/15,13
877,11/28/15,17
878,11/29/15,27
879,11/30/15,100
880,12/1/15,31
881,12/2/15,2
882,12/3/15,1
883,12/4/15,1
884,12/5/15,1
885,12/6/15,0
886,12/7/15,0
887,12/8/15,0
888,12/9/15,0
889,12/10/15,0
890,12/11/15,0
891,12/12/15,0
892,12/13/15,0
893,12/14/15,0
894,12/15/15,0
895,12/16/15,0
896,12/17/15,0
897,12/18/15,0
898,12/19/15,0
899,12/20/15,0
900,12/21/15,0
901,12/22/15,0
902,12/23/15,0
903,12/24/15,0
904,12/25/15,0
905,12/26/15,0
906,12/27/15,0
907,12/28/15,0
908,12/29/15,0
909,12/30/15,0
910,12/31/15,0
911,10/2/16,0
912,10/3/16,0
913,10/4/16,0
914,10/5/16,0
915,10/6/16,0
916,10/7/16,0
917,10/8/16,0
918,10/9/16,0
919,10/10/16,0
920,10/11/16,0
921,10/12/16,0
922,10/13/16,0
923,10/14/16,0
924,10/15/16,0
925,10/16/16,0
926,10/17/16,0
927,10/18/16,0
928,10/19/16,0
929,10/20/16,0
930,10/21/16,0
931,10/22/16,0
932,10/23/16,0
933,10/24/16,0
934,10/25/16,0
935,10/26/16,0
936,10/27/16,0
937,10/28/16,0
938,10/29/16,0
939,10/30/16,0
940,10/31/16,0
941,11/1/16,0
942,11/2/16,0
943,11/3/16,0
944,11/4/16,0
945,11/5/16,0
946,11/6/16,0
947,11/7/16,0
948,11/8/16,0
949,11/9/16,0
950,11/10/16,0
951,11/11/16,1
952,11/12/16,1
953,11/13/16,1
954,11/14/16,1
955,11/15/16,1
956,11/16/16,1
957,11/17/16,1
958,11/18/16,2
959,11/19/16,2
960,11/20/16,4
961,11/21/16,8
962,11/22/16,6
963,11/23/16,5
964,11/24/16,7
965,11/25/16,14
966,11/26/16,17
967,11/27/16,26
968,11/28/16,100
969,11/29/16,34
970,11/30/16,2
971,12/1/16,1
972,12/2/16,1
973,12/3/16,1
974,12/4/16,0
975,12/5/16,0
976,12/6/16,0
977,12/7/16,0
978,12/8/16,0
979,12/9/16,0
980,12/10/16,0
981,12/11/16,0
982,12/12/16,0
983,12/13/16,0
984,12/14/16,0
985,12/15/16,0
986,12/16/16,0
987,12/17/16,0
988,12/18/16,0
989,12/19/16,0
990,12/20/16,0
991,12/21/16,0
992,12/22/16,0
993,12/23/16,0
994,12/24/16,0
995,12/25/16,0
996,12/26/16,0
997,12/27/16,0
998,12/28/16,0
999,12/29/16,0
1000,12/30/16,0
1001,12/31/16,0