Date,Google,Translate,Docs,Okay google,gmail,Earth,Hangout,Maps,Street View,Classroom,Chrome,Wallet,Cardboard,Drive,Nexus,Gravity,Slides,Price
1/1/07,100,49,18,0,81,90,0,62,0,0,70,0,100,77,0,0,0,232.921951
1/2/07,87,53,41,0,84,70,0,67,0,0,44,40,0,35,0,0,0,240.727692
1/3/07,84,60,43,0,85,69,0,70,0,42,42,38,60,60,38,0,38,242.685349
1/4/07,83,56,23,0,87,64,0,68,0,41,0,0,0,51,0,0,37,240.8871
1/5/07,84,47,39,53,86,68,0,72,0,43,0,0,0,55,39,0,39,241.843506
1/6/07,92,56,28,0,79,80,0,67,0,0,56,0,0,86,0,0,51,243.816116
1/7/07,91,60,30,0,74,85,0,66,0,0,0,0,0,61,100,51,100,248.926956
1/8/07,81,56,44,0,85,65,0,71,0,0,0,0,0,60,0,36,35,251.557098
1/9/07,82,52,40,47,86,67,0,73,0,77,0,34,54,59,34,47,0,251.198441
1/10/07,85,61,36,0,84,68,0,78,0,0,79,0,56,60,0,36,0,247.711517
1/11/07,85,57,43,0,84,79,0,76,0,0,0,0,0,34,35,72,0,243.004166
1/12/07,88,70,33,51,85,77,0,77,0,41,42,0,0,64,0,38,0,243.960571
1/13/07,97,47,34,67,79,94,0,76,0,0,0,100,0,61,0,51,0,239.522217
1/14/07,92,59,40,0,74,100,0,77,0,0,55,97,0,53,0,50,0,238.630554
1/15/07,81,60,40,0,85,75,0,75,0,0,0,35,0,50,0,36,0,248.60318
1/16/07,83,73,43,0,86,71,0,77,0,38,0,34,0,37,0,52,0,243.133682
1/17/07,84,66,45,0,86,74,0,77,0,38,38,34,0,70,0,0,34,246.994202
1/18/07,85,48,52,0,85,78,0,78,52,51,38,34,0,51,0,0,0,245.315491
1/19/07,87,68,49,0,87,77,0,83,0,41,0,0,0,50,0,0,0,246.237045
1/20/07,95,60,47,0,76,91,0,79,0,54,0,0,0,66,0,0,49,249.813644
1/21/07,93,69,52,0,72,94,0,77,0,0,0,0,74,61,0,48,0,239.97551
1/22/07,83,66,38,0,85,71,0,74,0,37,0,0,53,55,33,0,0,239.850983
1/23/07,84,73,54,0,85,72,0,78,0,74,75,0,0,50,0,0,0,232.707748
1/24/07,87,63,34,0,87,72,0,80,52,76,0,34,0,56,0,58,34,234.859695
1/25/07,87,69,31,0,86,73,0,78,0,58,0,0,0,69,0,36,0,234.127426
1/26/07,89,65,46,0,85,76,0,79,0,0,0,37,0,60,0,38,37,234.635529
1/27/07,99,56,37,0,78,94,0,84,0,0,54,48,76,70,48,0,98,230.082596
1/28/07,93,58,53,0,72,95,0,78,0,0,0,47,0,71,0,48,0,228.289322
1/29/07,83,69,54,0,86,70,0,76,0,0,0,0,0,45,0,0,0,228.69281
1/30/07,83,73,50,0,86,68,0,77,0,37,37,0,0,61,0,0,33,232.095047
1/31/07,85,85,44,0,86,72,0,78,0,37,37,0,0,41,0,35,0,229.873383
2/1/07,88,80,58,0,86,72,0,78,53,38,39,0,0,77,34,35,0,234.09256
2/2/07,91,57,60,49,87,78,0,88,55,60,40,72,0,67,0,37,36,235.168533
2/3/07,98,64,44,0,80,92,100,84,73,0,0,0,0,42,0,0,0,237.041504
2/4/07,95,80,47,64,74,92,0,78,0,52,52,0,0,42,0,0,0,237.03653
2/5/07,83,73,73,0,86,74,0,77,0,0,37,33,0,62,0,34,34,234.43129
2/6/07,84,74,67,45,85,72,0,82,0,0,37,0,52,54,67,56,0,231.596924
2/7/07,87,70,64,46,89,72,0,79,0,74,0,33,0,55,0,34,0,223.547089
2/8/07,85,75,74,0,88,73,0,81,0,37,37,0,0,48,0,0,0,223.885818
2/9/07,89,56,84,0,87,75,74,84,0,52,39,0,0,53,36,36,0,223.278091
2/10/07,98,56,50,0,79,88,0,83,0,0,52,0,0,61,47,0,0,218.520935
2/11/07,95,84,59,0,74,88,0,78,0,0,51,0,0,41,0,47,0,219.651688
2/12/07,85,83,44,0,89,69,0,78,0,36,0,0,0,45,32,0,33,227.9207
2/13/07,83,80,47,0,90,71,0,80,100,0,36,0,0,78,33,100,33,226.969269
2/14/07,85,72,53,0,90,68,0,79,0,0,38,0,0,46,0,34,0,226.510986
2/15/07,89,71,55,47,92,71,0,86,0,39,38,35,0,40,0,0,35,225.634262
2/16/07,90,74,50,100,90,74,0,89,0,0,81,0,0,47,37,37,74,226.525925
2/17/07,98,51,37,0,82,85,0,85,0,55,0,0,0,74,0,0,0,220.687805
2/18/07,94,67,38,0,76,88,0,80,0,53,55,49,0,66,49,0,0,223.163528
2/19/07,85,61,60,48,89,71,0,84,0,0,0,35,0,84,35,0,0,222.261902
2/20/07,85,68,65,48,89,70,73,85,0,39,0,34,0,64,0,35,0,219.601883
2/21/07,86,79,51,0,90,69,0,85,0,0,0,0,0,69,0,0,0,222.779968
2/22/07,91,83,100,0,92,69,0,88,0,38,38,0,0,72,68,69,0,221.808609
2/23/07,93,65,100,0,91,74,0,88,55,40,40,36,0,81,36,36,0,227.422562
2/24/07,98,72,73,0,83,87,0,85,0,52,0,46,0,70,0,0,47,230.157318
2/25/07,95,70,59,0,75,88,0,78,0,0,0,0,0,95,45,46,0,230.052704
2/26/07,84,71,74,0,88,64,0,83,0,36,36,32,0,46,0,33,65,231.63179
2/27/07,84,65,80,44,92,64,0,84,0,0,36,0,0,54,0,97,32,230.944366
2/28/07,86,100,49,44,92,65,0,86,0,36,0,0,51,64,33,33,33,230.077606
3/1/07,86,74,77,0,94,67,0,88,0,55,37,0,0,43,0,34,33,229.599411
3/2/07,88,83,63,0,91,71,0,91,0,0,0,35,0,52,0,70,35,228.224564
3/3/07,95,65,53,62,81,84,0,90,69,50,0,0,0,81,46,47,0,228.408875
3/4/07,93,84,43,0,77,86,0,85,0,50,0,45,0,37,0,0,46,235.417603
3/5/07,84,82,47,44,91,67,67,88,0,36,0,0,0,74,32,49,64,234.630554
3/6/07,86,67,52,0,92,67,0,87,0,0,0,32,0,76,0,65,0,234.874634
3/7/07,86,77,57,44,92,67,0,88,0,0,0,32,0,77,0,65,0,233.230789
3/8/07,86,90,61,44,94,69,0,93,0,0,36,66,0,70,0,33,0,232.378983
3/9/07,90,54,55,0,92,74,0,100,52,38,0,34,0,75,0,35,0,231.397659
3/10/07,97,73,32,0,84,81,0,91,70,0,0,0,0,81,46,0,0,232.822327
3/11/07,92,73,50,0,78,83,0,91,0,0,51,0,0,40,0,46,0,232.274384
3/12/07,83,94,50,0,94,65,0,88,0,36,0,32,0,66,0,0,0,236.249481
3/13/07,86,76,43,0,94,65,0,93,0,0,54,0,0,70,33,49,43,235.517227
3/14/07,85,75,47,0,95,64,0,93,0,36,0,0,0,60,32,0,0,237.116226
3/15/07,87,82,57,0,94,67,0,91,0,37,37,33,0,63,33,34,0,234.944366
3/16/07,88,69,43,0,94,68,0,93,53,38,38,0,0,40,35,0,0,240.339157
3/17/07,96,57,26,0,83,80,0,90,0,100,0,0,0,78,0,47,0,238.645493
3/18/07,92,81,40,0,76,80,0,86,0,49,0,44,0,81,0,45,44,237.873398
3/19/07,84,75,48,44,89,64,0,86,0,35,71,32,50,100,0,33,0,238.102539
3/20/07,84,80,50,0,97,60,0,74,51,74,0,33,0,68,50,34,0,239.691574
3/21/07,89,86,50,44,96,67,0,91,0,36,0,32,0,66,0,33,0,238.610626
3/22/07,86,80,50,44,95,67,0,91,0,0,0,0,0,79,33,44,32,234.809875
3/23/07,89,84,51,0,94,70,0,95,0,0,38,0,0,88,34,35,34,233.624313
3/24/07,94,65,31,0,82,82,0,88,0,0,100,0,0,83,0,0,0,238.645493
3/25/07,92,73,35,61,79,78,0,88,0,50,0,0,0,68,0,46,45,237.873398
3/26/07,81,81,56,43,94,61,0,89,0,35,35,31,0,65,32,32,32,238.102539
3/27/07,84,73,48,0,100,61,0,90,0,53,36,32,0,54,0,32,0,239.691574
3/28/07,86,75,57,0,97,63,0,90,0,72,36,0,0,79,0,33,0,238.610626
3/29/07,86,87,52,0,95,65,0,95,49,36,37,0,0,71,33,33,32,234.809875
3/30/07,89,65,49,0,94,71,0,100,0,39,39,35,0,53,0,36,35,233.624313
3/31/07,94,98,34,64,84,82,0,93,71,0,52,0,73,67,0,47,0,234.809875
1/1/08,91,66,58,83,86,99,0,73,30,0,0,0,0,38,0,34,0,233.624313
1/2/08,83,74,72,0,95,78,0,77,16,30,37,71,0,53,0,44,0,341.315674
1/3/08,82,71,60,53,94,77,0,83,16,30,0,0,0,43,0,21,0,341.385406
1/4/08,83,79,49,0,92,78,0,82,23,61,56,0,0,58,36,0,0,327.273285
1/5/08,88,70,37,0,82,88,0,75,27,77,47,0,0,53,46,28,35,323.412781
1/6/08,87,83,47,69,80,90,0,77,13,38,0,44,0,51,46,42,53,314.660583
1/7/08,82,80,73,0,93,73,0,80,20,28,0,49,0,60,0,20,25,325.380402
1/8/08,84,87,61,0,94,75,0,83,12,69,0,0,0,30,33,20,25,322.157471
1/9/08,83,81,67,50,94,74,0,84,14,41,68,32,0,35,0,30,25,317.933319
1/10/08,85,84,61,0,93,76,0,82,14,0,0,0,0,40,0,20,26,325.68924
1/11/08,86,79,67,0,95,79,0,84,15,58,0,34,51,35,35,21,0,317.63443
1/12/08,90,72,45,0,86,89,0,80,16,37,45,44,0,45,0,27,34,306.824951
1/13/08,90,90,48,0,83,94,0,82,12,0,0,43,65,40,0,0,34,299.273254
1/14/08,83,79,77,0,100,76,0,82,7,45,0,31,0,48,32,19,0,299.004272
1/15/08,84,82,69,49,99,76,0,82,12,27,33,0,0,55,0,20,0,291.083954
1/16/08,85,77,70,49,97,75,0,86,12,27,33,32,0,39,44,0,25,273.285645
1/17/08,86,81,70,0,95,79,0,83,11,41,0,0,0,43,33,0,25,286.172363
1/18/08,86,72,80,52,93,82,0,89,17,29,35,33,0,54,0,21,0,282.142456
1/19/08,92,73,45,0,80,92,0,83,16,0,45,43,0,68,0,27,34,276.951904
1/20/08,88,79,54,65,76,97,0,79,11,0,0,42,0,48,43,0,33,274.232117
1/21/08,83,80,60,0,93,75,0,83,14,27,0,31,0,42,0,0,49,273.111298
1/22/08,85,85,67,48,91,76,0,81,13,35,0,0,0,34,32,38,0,281.096375
1/23/08,85,86,59,0,92,74,0,83,12,53,33,31,46,53,32,19,25,256.986755
1/24/08,85,88,62,0,90,75,84,82,12,45,0,32,0,42,32,78,25,246.789978
1/25/08,88,86,75,0,92,80,0,88,16,29,0,100,50,50,69,31,0,252.453735
1/26/08,92,69,50,0,80,91,0,85,11,0,0,43,0,43,44,27,0,249.918243
1/27/08,89,82,54,0,74,93,0,80,17,71,0,0,0,46,43,78,66,251.532196
1/28/08,90,83,72,0,92,77,0,82,15,44,32,31,46,44,63,28,24,257.38028
1/29/08,86,86,77,0,92,75,0,84,19,26,32,0,0,35,31,0,0,259.606934
1/30/08,87,85,77,0,94,76,0,82,14,44,49,0,47,42,48,19,0,258.077667
1/31/08,87,88,69,0,93,78,0,86,23,0,0,31,0,44,32,20,0,266.311798
2/1/08,89,78,64,0,92,79,0,84,11,29,0,50,0,36,34,21,0,265.131226
2/2/08,94,76,60,66,81,94,0,83,20,55,45,0,0,38,0,27,34,263.831085
2/3/08,91,77,50,0,74,93,0,80,14,74,44,42,64,46,44,26,0,253.524734
2/4/08,87,77,79,0,92,77,0,81,8,28,0,0,0,52,44,40,25,253.549637
2/5/08,87,81,77,0,88,75,0,83,11,41,0,32,48,44,33,29,25,250.491104
2/6/08,87,88,70,0,92,74,0,85,14,27,33,31,0,33,33,20,74,252.951874
2/7/08,89,92,87,50,93,77,0,85,11,41,34,0,0,49,0,20,0,242.311752
2/8/08,90,75,81,0,92,81,0,90,13,67,0,0,51,35,69,21,27,231.228302
2/9/08,93,71,63,0,82,92,0,86,23,0,46,0,0,44,44,0,34,235.547119
2/10/08,90,81,72,66,76,91,0,84,21,54,44,0,0,60,44,0,33,236.807388
2/11/08,85,87,74,0,95,73,0,87,13,44,33,31,0,43,32,19,25,234.710251
2/12/08,87,87,79,0,93,75,0,91,10,40,0,0,0,44,48,0,24,227.656693
2/13/08,88,82,86,0,92,75,0,84,29,27,0,92,47,33,32,19,24,221.469879
2/14/08,90,84,72,0,94,74,0,87,24,27,34,65,96,43,33,40,50,223.014084
2/15/08,89,83,68,52,92,80,0,96,21,43,36,33,0,52,34,21,39,215.542099
2/16/08,91,78,57,0,79,92,0,89,28,36,88,42,0,29,44,39,100,215.865875
2/17/08,91,85,62,0,76,98,0,83,17,36,44,0,0,39,43,0,44,206.03772
2/18/08,83,78,71,0,92,75,0,89,15,26,0,41,46,49,32,0,0,219.09877
2/19/08,85,88,77,47,91,72,0,86,22,35,0,30,0,48,31,28,0,219.268127
2/20/08,86,85,89,0,92,72,0,86,11,65,32,30,45,37,31,0,0,220.677841
2/21/08,87,84,83,0,92,77,0,87,16,26,32,46,0,39,0,19,0,218.142349
2/22/08,89,75,69,75,92,78,0,91,11,42,0,32,0,41,0,20,25,209.151047
2/23/08,92,73,58,64,80,89,0,84,16,0,0,41,0,57,0,26,0,218.76004
2/24/08,93,95,69,62,74,93,0,84,16,35,85,81,0,56,42,100,0,215.193405
2/25/08,86,93,75,0,92,71,0,85,17,38,31,29,0,41,0,55,35,215.965515
2/26/08,87,86,79,45,94,72,0,85,16,100,31,58,0,47,30,0,46,229.420074
2/27/08,89,91,92,0,94,76,0,88,19,39,0,30,0,40,0,28,24,224.54834
2/28/08,90,87,90,0,93,75,0,90,21,52,0,31,0,51,63,19,24,228.239502
2/29/08,91,79,84,100,91,76,0,91,17,28,0,0,49,53,100,40,0,221.210846
3/1/08,93,71,58,0,79,88,0,85,29,35,43,40,0,54,42,25,0,218.222046
3/2/08,91,91,47,0,75,91,0,80,10,0,63,40,0,53,0,0,0,219.412582
3/3/08,87,86,92,45,92,72,0,85,16,50,0,30,0,33,30,18,0,231.985458
3/4/08,88,91,81,0,91,72,0,85,22,0,0,0,0,48,0,0,0,231.980484
3/5/08,89,93,100,0,93,72,0,89,16,25,0,29,0,39,30,18,46,226.710236
3/6/08,90,91,91,48,95,75,0,88,19,26,32,0,46,44,0,38,24,234.665421
3/7/08,92,84,73,0,92,87,0,100,100,28,100,32,0,63,0,20,25,237.519714
3/8/08,94,74,60,0,79,95,0,93,65,0,43,40,0,40,0,25,31,233.03154
3/9/08,91,84,58,0,75,95,0,88,58,34,84,0,0,31,0,0,31,231.228302
3/10/08,85,87,86,45,92,73,0,88,40,25,31,0,0,70,51,0,0,233.664169
3/11/08,89,94,89,0,94,76,0,93,37,26,32,44,0,91,30,37,46,227.87088
3/12/08,90,100,71,46,91,76,0,91,27,43,31,30,0,100,0,0,23,224.986694
3/13/08,89,96,86,0,93,77,0,95,18,52,0,31,46,39,31,0,36,222.585693
3/14/08,91,79,80,0,93,81,0,96,31,28,34,0,48,47,33,20,0,226.665405
3/15/08,95,81,57,0,80,93,0,96,26,35,44,41,0,57,43,0,65,223.930649
3/16/08,93,88,57,0,73,94,0,86,18,34,0,0,0,45,0,24,63,268.697845
3/17/08,89,88,88,47,90,73,0,93,28,77,32,0,0,44,31,37,23,267.890869
3/18/08,87,98,77,0,91,75,0,92,20,35,32,60,0,42,31,19,48,276.463745
3/19/08,88,94,78,0,91,74,0,92,16,27,33,32,0,46,33,19,33,272.22464
3/20/08,91,92,77,0,87,78,0,93,13,43,0,33,0,46,35,21,52,270.506073
3/21/08,89,76,60,0,80,87,100,86,19,32,0,0,0,63,0,0,30,271.01416
3/22/08,90,80,50,0,78,90,0,84,18,38,0,0,0,59,45,27,0,275.029114
3/23/08,93,89,59,70,76,100,0,79,19,0,0,45,0,56,70,56,35,278.192261
3/24/08,88,83,86,51,89,85,0,85,24,29,0,0,100,64,34,21,35,286.072723
3/25/08,87,94,79,46,92,77,0,93,25,34,31,0,45,54,30,28,0,295.432648
3/26/08,88,89,81,0,91,74,0,92,21,25,31,29,44,57,0,18,46,289.559662
3/27/08,87,91,95,46,91,72,0,99,24,25,0,0,0,58,31,19,0,296.339233
3/28/08,89,88,88,0,92,74,0,100,30,27,0,64,0,39,0,0,25,292.085205
3/29/08,100,89,62,0,80,88,0,97,34,35,42,41,0,62,0,0,32,288.418945
3/30/08,92,95,73,0,76,86,0,88,33,34,0,40,61,41,0,25,31,290.416443
3/31/08,87,93,100,0,93,69,0,93,24,25,31,29,44,43,30,0,0,285.529755
1/1/09,79,56,32,44,65,52,0,56,8,0,89,0,57,63,0,34,44,160.060059
1/2/09,75,55,50,34,68,45,96,59,7,32,86,0,87,64,0,13,67,163.412491
1/3/09,77,66,48,37,63,49,0,59,7,71,78,47,0,47,50,14,37,166.406265
1/4/09,76,62,55,0,62,50,0,57,6,34,82,45,46,55,48,14,35,160.403763
1/5/09,73,62,63,0,71,41,0,60,6,44,70,17,0,49,38,11,27,161.987823
1/6/09,75,68,77,56,69,44,78,60,6,66,67,0,36,44,57,22,28,156.946732
1/7/09,74,71,79,27,70,40,0,59,7,59,63,51,35,59,36,0,27,155.761169
1/8/09,75,68,74,27,71,43,0,63,8,43,66,17,71,49,37,27,27,156.57312
1/9/09,78,66,72,28,71,43,0,65,8,26,78,18,0,66,51,16,42,149.92305
1/10/09,79,62,60,0,64,48,0,60,9,67,96,22,0,47,48,14,71,148.936752
1/11/09,79,75,55,35,62,48,100,58,8,33,95,22,46,60,0,0,52,149.275482
1/12/09,76,72,72,0,72,41,0,64,6,25,78,17,34,42,36,21,26,140.847076
1/13/09,77,77,81,27,72,43,0,64,6,41,69,100,34,44,36,0,43,150.974106
1/14/09,78,76,71,0,71,48,0,63,5,74,68,17,0,56,54,20,53,152.677719
1/15/09,78,71,78,0,71,45,0,66,6,25,69,0,35,63,54,26,0,161.743744
1/16/09,78,64,71,0,71,45,0,66,6,40,65,18,36,62,38,22,28,161.330292
1/17/09,80,62,57,53,64,51,0,65,6,100,82,22,0,66,96,21,35,165.121078
1/18/09,78,72,52,69,62,52,0,57,6,33,78,22,45,58,0,27,34,173.68399
1/19/09,75,71,66,26,72,41,0,61,5,25,65,33,34,61,71,10,0,171.018982
1/20/09,76,72,69,26,71,40,0,62,4,24,61,16,67,80,35,20,52,168.632919
1/21/09,78,76,76,26,72,40,0,64,4,58,62,17,34,67,53,30,39,169.649109
1/22/09,78,74,79,26,72,42,0,64,6,50,59,17,0,84,72,10,26,169.58934
1/23/09,78,70,68,28,71,42,0,65,7,44,66,17,0,48,56,22,55,170.859573
1/24/09,80,64,52,35,65,50,99,65,5,44,80,44,45,65,0,34,52,176.199554
1/25/09,79,73,51,34,62,51,0,59,6,32,73,44,44,74,47,27,68,184.946777
1/26/09,76,75,75,26,72,41,0,62,6,37,63,16,34,94,71,26,39,188.677795
1/27/09,79,75,80,26,77,41,0,64,6,57,66,16,0,100,53,20,26,178.585617
1/28/09,81,77,85,26,79,42,0,65,6,25,65,16,34,72,35,30,39,178.351501
1/29/09,79,72,71,26,79,43,0,67,6,25,68,17,0,75,36,21,26,180.847137
1/30/09,82,68,72,0,77,46,0,69,8,53,70,0,0,94,38,22,42,178.172165
1/31/09,97,62,63,68,71,50,0,64,8,43,91,22,45,90,0,20,34,170.690216
2/1/09,80,75,53,34,65,50,0,59,6,32,80,21,0,74,68,13,100,175.895706
2/2/09,82,93,80,51,73,56,72,60,6,84,65,0,33,72,34,20,25,170.680252
2/3/09,94,88,84,0,73,100,0,64,6,48,65,16,0,65,34,20,38,172.57814
2/4/09,93,87,82,25,74,83,0,69,6,59,65,16,33,60,52,30,42,164.413742
2/5/09,90,88,89,25,75,69,0,69,6,36,67,16,0,66,93,35,25,172.080002
2/6/09,88,82,79,41,72,64,0,70,6,60,68,17,35,72,37,11,0,170.182114
2/7/09,87,73,48,45,65,69,0,67,6,32,86,0,0,79,46,20,34,167.960449
2/8/09,86,83,54,33,62,72,0,62,7,46,75,62,0,72,0,26,43,168.363937
2/9/09,82,81,91,0,74,55,0,66,6,78,62,16,0,68,79,29,49,162.969147
2/10/09,86,79,87,50,75,57,0,65,6,47,60,16,32,64,79,48,99,162.132294
2/11/09,85,83,86,0,76,56,0,66,5,41,62,16,34,60,35,15,52,158.864532
2/12/09,84,81,96,52,75,52,0,67,5,41,58,25,0,62,70,25,26,152.249329
2/13/09,83,74,69,0,74,52,0,70,7,52,59,17,36,65,38,11,41,153.708862
2/14/09,84,71,52,35,67,59,0,65,7,66,70,37,0,71,47,14,52,144.901871
2/15/09,84,82,56,0,64,61,0,62,6,54,69,22,0,66,70,20,51,153.509613
2/16/09,78,81,74,0,75,46,0,63,6,24,60,25,34,59,35,20,51,158.36142
2/17/09,82,83,79,0,75,46,0,66,5,36,61,27,0,64,35,10,25,161.160934
2/18/09,80,82,79,38,75,49,0,65,6,56,57,24,0,61,35,20,38,161.604263
2/19/09,82,80,82,0,75,49,0,66,9,41,61,22,100,48,47,20,25,159.248093
2/20/09,85,78,72,28,75,60,0,69,7,26,63,17,36,74,62,16,41,167.043884
2/21/09,87,74,48,0,66,66,0,66,8,65,72,22,44,70,47,13,68,165.928055
2/22/09,83,84,64,0,63,62,0,61,8,53,72,21,44,68,46,26,0,164.353958
2/23/09,79,83,83,0,72,48,0,62,6,48,57,16,33,57,35,35,51,164.463547
2/24/09,82,86,89,0,100,47,0,63,5,61,62,0,33,59,70,15,0,173.649124
2/25/09,82,88,82,26,76,46,0,62,5,56,68,16,0,54,0,20,25,172.936783
2/26/09,82,88,81,51,74,47,0,66,6,56,63,16,33,53,34,10,25,171.392578
2/27/09,82,78,81,0,72,47,0,70,6,38,63,17,0,61,36,21,53,175.985367
2/28/09,83,75,57,34,66,54,0,65,6,32,69,21,0,79,46,13,0,173.200806
3/1/09,83,89,69,66,64,52,0,60,6,62,71,21,43,59,44,13,32,170.705154
3/2/09,80,88,95,41,75,44,0,63,4,46,55,16,32,51,34,24,49,173.380127
3/3/09,82,88,92,25,75,44,0,64,5,47,54,16,32,46,68,10,50,176.383865
3/4/09,82,92,87,25,76,46,0,64,5,47,53,16,0,44,51,10,74,180.573166
3/5/09,82,89,96,25,74,45,0,66,5,48,58,32,0,62,68,10,25,184.19957
3/6/09,82,86,76,40,75,47,0,68,5,76,61,34,35,50,36,21,44,183.432449
3/7/09,85,81,54,33,66,53,0,65,6,32,75,0,43,63,45,13,0,178.65535
3/8/09,82,89,58,33,63,53,0,62,5,77,70,0,43,56,45,13,66,180.324097
3/9/09,80,90,87,33,75,43,0,65,5,58,60,16,0,62,34,29,33,185.554489
3/10/09,81,93,96,25,75,43,0,64,5,46,59,0,0,57,34,29,25,188.349014
3/11/09,81,95,98,25,75,43,0,65,4,47,56,21,0,61,34,29,25,183.766205
3/12/09,83,90,97,25,75,43,0,65,5,56,56,48,0,52,34,10,25,189.041428
3/13/09,84,84,81,27,75,45,0,68,5,84,61,23,0,68,36,26,27,193.64418
3/14/09,89,84,59,0,66,55,0,68,5,48,77,21,44,59,0,26,33,195.387634
3/15/09,84,94,53,100,64,55,0,63,6,73,73,42,43,77,67,19,33,188.941803
3/16/09,81,91,73,0,75,44,0,65,5,47,57,16,32,54,51,29,37,190.022751
3/17/09,84,97,82,25,76,44,0,67,5,71,62,0,32,55,57,24,41,191.213287
3/18/09,83,96,92,38,76,43,0,68,5,32,82,16,0,48,34,20,25,191.62674
